hex,layer1,with_shift,with_ctrl
0x09,key:TAB,,
0x0A,key:LGUI,,
0x0B,key:BSPC,,
0x0C,key:SPACE,,
0x0D,key:RET,,
0x0E,key:ESC,,
0x0F,key:DEL,,
0x10,write:1,key:F1,
0x11,write:a,,write:xa
0x12,write:i,,write:xi
0x13,write:u,,write:xu
0x14,write:e,,write:xe
0x15,write:o,,write:xo
0x16,write:!,write:!,
0x17,"write:,","write:,",
0x18,write:.,write:.,
0x19,write:?,write:?,
0x1A,write:~,write:~,
0x1B,write:@,write:@,
0x1C,write:_,write:_,
0x1D,"write:""","write:""",
0x1E,write:&,write:&,
0x1F,ime,ime,
0x20,write:2,key:F2,
0x21,write:ka,write:ga,
0x22,write:ki,write:gi,
0x23,write:ku,write:gu,
0x24,write:ke,write:ge,
0x25,write:ko,write:go,
0x26,write:#,write:#,
0x27,write:$,write:$,
0x28,write:%,write:%,
0x2A,write:',write:',
0x2C,write:^,write:^,
0x2D,write:`,write:`,
0x2E,write:\,write:\,
0x30,write:3,key:F3,
0x31,write:sa,write:za,
0x32,write:si,write:zi,
0x33,write:su,write:zu,
0x34,write:se,write:ze,
0x35,write:so,write:zo,
0x36,write:/,write:/,
0x37,write:*,write:*,
0x38,write:=,write:=,
0x39,write:+,write:+,
0x3A,write:-,write:-,
0x3E,keys:LSHIFT+TAB,,
0x3F,keys:LCTRL+TAB,,
0x40,write:4,key:F4,
0x41,write:ta,write:da,
0x42,write:ti,write:di,
0x43,write:tu,write:du,write:xtu
0x44,write:te,write:de,
0x45,write:to,write:do,
0x46,write:(,write:(,
0x47,write:),write:),
0x48,write:[,write:[,
0x49,write:{,write:{,
0x4A,write:],write:],
0x4B,write:},write:},
0x4C,write:<,write:<,
0x4D,write:>,write:>,
0x4E,write:;,write:;,
0x4F,write::,write::,
0x50,write:5,key:F5,
0x51,write:na,,
0x52,write:ni,,
0x53,write:nu,,
0x54,write:ne,,
0x55,write:no,,
0x60,write:6,key:F6,
0x61,write:ha,write:ba,write:pa
0x62,write:hi,write:bi,write:pi
0x63,write:hu,write:bu,write:pu
0x64,write:he,write:be,write:pe
0x65,write:ho,write:bo,write:po
0x70,write:7,key:F7,
0x71,write:ma,,
0x72,write:mi,,
0x73,write:mu,,
0x74,write:me,,
0x75,write:mo,,
0x80,write:8,key:F8,
0x81,write:ya,,write:xya
0x82,mod:Alt,,
0x83,write:yu,,write:xyu
0x84,mod:Ctrl,,
0x85,write:yo,,write:xyo
0x86,mod:Ctrl+Alt,,
0x88,mod:Shift,,
0x8A,mod:Shift+Alt,,
0x8C,mod:Shift+Ctrl,,
0x8E,mod:Shift+Ctrl+Alt,,
0x90,write:9,key:F9,
0x91,write:ra,,
0x92,write:ri,,
0x93,write:ru,,
0x94,write:re,,
0x95,write:ro,,
0xA0,write:0,key:F10,
0xA1,write:wa,,write:xwa
0xA3,write:wo,,
0xA5,write:nn,,
0xB0,key:UP,key:F11,
0xC0,key:DOWN,key:F12,
0xC1,bt:SEL0,,
0xC2,bt:SEL1,,
0xC3,bt:SEL2,,
0xC4,bt:SEL3,,
0xC5,bt:SEL4,,
0xC9,bt:CLR,,
0xD0,key:LEFT,,
0xE0,key:RIGHT,,
0xE1,write:a,write:A,
0xE2,write:b,write:B,
0xE3,write:c,write:C,
0xE4,write:d,write:D,
0xE5,write:e,write:E,
0xE6,write:f,write:F,
0xE7,write:g,write:G,
0xE8,write:h,write:H,
0xE9,write:i,write:I,
0xEA,write:j,write:J,
0xEB,write:k,write:K,
0xEC,write:l,write:L,
0xED,write:m,write:M,
0xEE,write:n,write:N,
0xEF,write:o,write:O,
0xF0,key:RET,,
0xF1,write:p,write:P,
0xF2,write:q,write:Q,
0xF3,write:r,write:R,
0xF4,write:s,write:S,
0xF5,write:t,write:T,
0xF6,write:u,write:U,
0xF7,write:v,write:V,
0xF8,write:w,write:W,
0xF9,write:x,write:X,
0xFA,write:y,write:Y,
0xFB,write:z,write:Z,
